Member ID,Date,Available
1,2025-04-06,True
2,2025-04-06,True
4,2025-04-06,True
5,2025-04-06,True
7,2025-04-06,True
8,2025-04-06,True
9,2025-04-06,True
10,2025-04-06,True
11,2025-04-06,True
12,2025-04-06,True
13,2025-04-06,True
14,2025-04-06,True
15,2025-04-06,True
16,2025-04-06,True
17,2025-04-06,True
18,2025-04-06,True
19,2025-04-06,True
20,2025-04-06,True
21,2025-04-06,True
23,2025-04-06,True
24,2025-04-06,True
25,2025-04-06,True
26,2025-04-06,True
27,2025-04-06,True
28,2025-04-06,True
30,2025-04-06,True
31,2025-04-06,True
32,2025-04-06,True
33,2025-04-06,True
36,2025-04-06,True
37,2025-04-06,True
38,2025-04-06,True
39,2025-04-06,True
40,2025-04-06,True
1,2025-04-13,False
2,2025-04-13,False
4,2025-04-13,True
5,2025-04-13,True
7,2025-04-13,True
8,2025-04-13,False
9,2025-04-13,False
10,2025-04-13,True
11,2025-04-13,True
12,2025-04-13,True
13,2025-04-13,False
14,2025-04-13,False
15,2025-04-13,False
16,2025-04-13,True
17,2025-04-13,False
18,2025-04-13,False
19,2025-04-13,True
20,2025-04-13,True
21,2025-04-13,True
23,2025-04-13,True
24,2025-04-13,False
25,2025-04-13,False
26,2025-04-13,True
27,2025-04-13,False
28,2025-04-13,False
30,2025-04-13,False
31,2025-04-13,False
32,2025-04-13,False
33,2025-04-13,False
36,2025-04-13,False
37,2025-04-13,True
38,2025-04-13,False
39,2025-04-13,False
40,2025-04-13,False
1,2025-04-20,True
2,2025-04-20,False
4,2025-04-20,True
5,2025-04-20,True
7,2025-04-20,True
8,2025-04-20,False
9,2025-04-20,False
10,2025-04-20,True
11,2025-04-20,True
12,2025-04-20,True
13,2025-04-20,False
14,2025-04-20,False
15,2025-04-20,True
16,2025-04-20,True
17,2025-04-20,False
18,2025-04-20,True
19,2025-04-20,True
20,2025-04-20,False
21,2025-04-20,True
23,2025-04-20,True
24,2025-04-20,False
25,2025-04-20,False
26,2025-04-20,False
27,2025-04-20,False
28,2025-04-20,False
30,2025-04-20,False
31,2025-04-20,False
32,2025-04-20,False
33,2025-04-20,False
36,2025-04-20,False
37,2025-04-20,True
38,2025-04-20,False
39,2025-04-20,False
40,2025-04-20,False
1,2025-04-27,False
2,2025-04-27,True
4,2025-04-27,True
5,2025-04-27,True
7,2025-04-27,True
8,2025-04-27,False
9,2025-04-27,False
10,2025-04-27,True
11,2025-04-27,True
12,2025-04-27,True
13,2025-04-27,False
14,2025-04-27,False
15,2025-04-27,False
16,2025-04-27,True
17,2025-04-27,False
18,2025-04-27,False
19,2025-04-27,False
20,2025-04-27,True
21,2025-04-27,True
23,2025-04-27,True
24,2025-04-27,False
25,2025-04-27,False
26,2025-04-27,True
27,2025-04-27,False
28,2025-04-27,False
30,2025-04-27,False
31,2025-04-27,False
32,2025-04-27,False
33,2025-04-27,False
36,2025-04-27,False
37,2025-04-27,True
38,2025-04-27,False
39,2025-04-27,False
40,2025-04-27,False
